0
19
19
0
1
.9959 .2348 
.9795 .1938 
.9496 .1988 
.9079 .1844 
.8561 .1711 
.7959 .1588 
.7290 .1452 
.6572 .1289 
.5819 .1092 
.5050 .0869 
.4279 .0686 
.3524 .0463 
.2799 .0024 
.2123 -.0640 
.1512 -.1441 
.0983 -.2318 
.0554 -.3052 
.0243 -.2574 
.0059 -.5283 
.0033 .8906 
.0180 .01556 
.0472 -.4188 
.0888 -.6604 
.1414 -.8147 
.2032 -.9023 
.2725 -.9274 
.3472 -.8841 
.4254 -.7826 
.5049 -.6721 
.5839 -.5743 
.6605 -.4784 
.7331 -.3812 
.8001 -.2814 
.8598 -.1780 
.9107 -.0696 
.9515 .0442 
.9804 .1488 
.9962 .3444 
